"Antibody","Treatment","Compartment","N_animals","Mean_of_means","SD_of_means","SEM_of_means"
"GABA","Control","GABA_terminals",4,258.548441273444,55.8770853647628,27.9385426823814
"GABA","Control","GLUT_terminals",4,6.30229878006437,1.86500552238585,0.932502761192925
"GABA","Control","Microglia",4,23.5473690340035,1.67650150036547,0.838250750182734
"GABA","Control","Spine",4,10.0512089695407,1.91425177869078,0.957125889345388
"GABA","LPS","GABA_terminals",2,192.134219324533,67.6312850821426,47.8225403019436
"GABA","LPS","GLUT_terminals",2,4.60838352788504,0.65072719392029,0.460133611523531
"GABA","LPS","Microglia",2,10.1091672386015,2.38307309195388,1.68508714338378
"GABA","LPS","Spine",2,9.06056667343966,0.592243216388947,0.418779194420356
"GLUT","Control","GABA_terminals",4,27.5715853073429,14.809688306344,7.40484415317199
"GLUT","Control","GLUT_terminals",4,69.2754626811322,24.636396171741,12.3181980858705
"GLUT","Control","Microglia",4,31.8792608741427,10.12358046173,5.06179023086502
"GLUT","Control","Spine",4,20.8259408940977,10.0365832069665,5.01829160348324
"GLUT","LPS","GABA_terminals",2,22.7183686807639,0.601340707994094,0.425212092426143
"GLUT","LPS","GLUT_terminals",2,57.8255191008891,16.777680974866,11.8636119899123
"GLUT","LPS","Microglia",2,36.6522020537228,6.35227716397889,4.49173825862593
"GLUT","LPS","Spine",2,12.7482282098899,0.706652087562995,0.499678483055423
