,,mg_density,mg_density,mg_density,dist_to_gaba_terminal,dist_to_gaba_terminal,dist_to_gaba_terminal
,,count,mean,std,min,max,mean
animal,gaba_proximity,,,,,,
GA1,apposed,5,18.14,11.16,0.0,0.0,0.0
GA1,close,7,27.41,22.04,5.6,370.35,124.72
GA1,distant,4,30.8,22.06,513.76,564.57,539.54
GA2,apposed,1,11.75,,0.0,0.0,0.0
GA2,close,5,22.09,13.23,25.69,372.71,208.41
GA2,distant,3,33.43,20.12,723.37,1181.3,953.85
GA3,close,7,22.52,9.59,49.61,483.48,268.57
GA3,distant,4,35.45,19.16,523.52,1226.71,756.52
GA4,close,5,24.89,6.15,6.71,384.4,147.17
GA4,distant,3,17.82,2.83,660.38,993.65,828.09
