Sample_ID,Animal,Antibody,Treatment,Compartment,Perimeter,Area,Feret_diameter,N_particles_total,N_particles_within,Density
E1,GA1,GLUT,Control,Microglia,1204.136992872911,57309.89940000001,543.6167629865731,2.0,2.0,34.89798483226791
E1,GA1,GLUT,Control,Microglia,1364.370883900245,69727.0032,614.7526339105835,2.0,2.0,28.68329209937994
E1,GA1,GLUT,Control,Microglia,6359.045418701272,923245.18065,1983.028280811951,29.0,28.0,30.32780521019013
E1,GA1,GLUT,Control,Microglia,2158.214493878636,224594.5806,704.2379232191348,10.0,10.0,44.52467184775873
E1,GA1,GLUT,Control,Microglia,2107.649484399351,214475.95935,813.0725375389333,6.0,6.0,27.97516336182318
E1,GA1,GLUT,Control,Microglia,6172.867642354338,1486528.03395,1800.323163240422,52.0,52.0,34.98084046341573
E1,GA1,GLUT,Control,Microglia,1951.893775257133,207040.8519,798.6031521350263,6.0,6.0,28.97978802221109
E1,GA1,GLUT,Control,Microglia,954.374625224668,52744.35285000001,382.4719189692232,0.0,0.0,0.0
E1,GA1,GLUT,Control,Microglia,1609.593302423543,117187.4952,671.1829575458543,2.0,2.0,17.06666736571736
E1,GA1,GLUT,Control,Microglia,1474.183984609972,101363.6349,548.7330777345212,2.0,2.0,19.73094198894006
E1,GA1,GLUT,Control,Microglia,1751.328346381159,138184.32735,780.7625117153103,8.0,8.0,57.89368558228175
E1,GA1,GLUT,Control,Microglia,1139.688895067067,60828.16095000001,487.3190765812478,2.0,2.0,32.87950792469256
E1,GA1,GLUT,Control,Microglia,1520.234777823914,149844.3057,570.8692338005263,6.0,6.0,40.04156161938157
E1,GA1,GLUT,Control,Microglia,8708.541256975552,1171453.5738,2159.065277128045,18.0,18.0,15.36552570462609
E1,GA1,GLUT,Control,Microglia,4739.373674297289,357312.0802500001,1837.957896498176,14.0,14.0,39.18143486837792
E1,GA1,GLUT,Control,Microglia,1381.909293949256,93928.52745,581.1589422868756,3.0,3.0,31.93917845243511
E1,GA1,GLUT,Control,Microglia,1548.959564255727,82961.60535000001,645.0408559153444,5.0,5.0,60.26884338732241
E1,GA1,GLUT,Control,Microglia,3288.377952175359,188433.6777,1524.474581913388,6.0,6.0,31.84144189741088
E1,GA1,GLUT,Control,Microglia,4454.319080682793,522697.4793000001,1148.946517684788,12.0,12.0,22.95783024641802
E1,GA1,GLUT,Control,Microglia,1249.775295092556,79939.88010000001,500.2763966049168,1.0,1.0,12.50940079906374
E1,GA1,GLUT,Control,Microglia,1515.348166696554,88977.33360000001,640.9622891403208,2.0,2.0,22.47763468605447
E1,GA1,GLUT,Control,Microglia,1332.307596640988,68357.52405,620.6766266744705,2.0,2.0,29.25793506706157
E1,GA1,GLUT,Control,Microglia,753.9188024127005,40857.05205000001,259.9320443885287,1.0,1.0,24.4755788737822
E1,GA1,GLUT,Control,Microglia,1785.996689867311,174411.76365,642.2067094791211,5.0,5.0,28.66779106731428
E1,GA1,GLUT,Control,Microglia,2347.486299441447,202843.70325,922.578287897564,7.0,7.0,34.50932855121791
E1,GA1,GLUT,Control,Microglia,1281.061149084227,107806.2858,498.0437772927195,7.0,7.0,64.93127880303987
E1,GA1,GLUT,Control,Microglia,7975.069237575,909567.0225000002,2490.17435624496,27.0,27.0,29.68445351700291
E1,GA1,GLUT,Control,Microglia,4180.513684665333,375181.8426,1674.682128763546,12.0,12.0,31.98449028567141
E1,GA1,GLUT,Control,Microglia,2492.50406379986,177400.2222,981.282691378993,8.0,8.0,45.09577215174423
E1,GA1,GLUT,Control,Microglia,2293.555848632398,194055.75,895.7761895696939,6.0,6.0,30.91894983786875
E1,GA1,GLUT,Control,Microglia,4437.568062273663,362146.8406500001,1223.089552935516,10.0,10.0,27.61310848950519
E1,GA1,GLUT,Control,Microglia,,,,,,31.666512483999252
E2,GA2,GLUT,Control,Microglia,2605.046258525081,227764.955,964.1228604280682,11.0,11.0,48.2954017223589
E2,GA2,GLUT,Control,Microglia,2798.941183410236,231045.265,1235.778402465426,7.0,7.0,30.29709351542002
E2,GA2,GLUT,Control,Microglia,2706.390954671114,332769.965,1169.533325732961,9.0,9.0,27.04571008985141
E2,GA2,GLUT,Control,Microglia,3003.788066035753,201457.135,1423.216796556309,6.0,6.0,29.78301066378214
E2,GA2,GLUT,Control,Microglia,4755.312191348186,336347.3300000001,2091.47955524313,19.0,19.0,56.48922499250996
E2,GA2,GLUT,Control,Microglia,1468.413997704648,122613.535,615.323914698592,5.0,5.0,40.7785323210851
E2,GA2,GLUT,Control,Microglia,2504.776920816409,259525.035,1083.867907080932,9.0,9.0,34.67873532894428
E2,GA2,GLUT,Control,Microglia,3579.687899316655,345419.91,1045.93863108693,11.0,11.0,31.84529808950503
E2,GA2,GLUT,Control,Microglia,1190.647177670304,67409.1,445.9886209310727,0.0,0.0,0.0
E2,GA2,GLUT,Control,Microglia,1460.03771179734,90125.64,492.0653005445517,6.0,6.0,66.57372973994968
E2,GA2,GLUT,Control,Microglia,2399.520631518989,177739.925,910.0796668424144,8.0,8.0,45.00958352491709
E2,GA2,GLUT,Control,Microglia,1230.69889283009,79274.96500000001,454.8855790196036,2.0,2.0,25.22864563863257
E2,GA2,GLUT,Control,Microglia,2179.605693835723,87835.11000000002,594.6453901275954,6.0,6.0,68.30981369522961
E2,GA2,GLUT,Control,Microglia,883.0120739832591,46865.11500000001,321.3883009694038,1.0,1.0,21.33783305556809
E2,GA2,GLUT,Control,Microglia,1988.461006527158,132484.11,708.6057930895006,8.0,8.0,60.38460008524795
E2,GA2,GLUT,Control,Microglia,3460.048008248462,295515.8800000001,1334.54709171314,13.0,13.0,43.99086776656468
E2,GA2,GLUT,Control,Microglia,1161.239852572239,74555.96500000001,441.1781726241679,6.0,6.0,80.47645818815435
E2,GA2,GLUT,Control,Microglia,1627.482606597297,117333.7,707.8472222167719,3.0,3.0,25.56810191786332
