Sample_ID,Animal,Antibody,Treatment,Compartment,Perimeter,Area,Feret_diameter,N_particles_total,N_particles_within,Density
E1,GA1,GLUT,Control,GLUT_terminals,1817.845236654714,217486.5957,667.2808183965728,12.0,12.0,55.17581422145548
E1,GA1,GLUT,Control,GLUT_terminals,1552.087872395767,147338.2143,600.2226854260009,7.0,7.0,47.50973827975869
E1,GA1,GLUT,Control,GLUT_terminals,1463.482760172057,100326.82275,579.5539500339896,11.0,11.0,109.6416660917332
E1,GA1,GLUT,Control,GLUT_terminals,1008.376057964361,64077.20865000001,377.6431422652873,5.0,5.0,78.03086472306873
E1,GA1,GLUT,Control,GLUT_terminals,1342.340780687903,128076.795,490.6865452608213,12.0,12.0,93.69378738748107
E1,GA1,GLUT,Control,GLUT_terminals,3632.199572186651,580836.582,1379.363821078399,31.0,31.0,53.37129402775805
E1,GA1,GLUT,Control,GLUT_terminals,1470.013016022107,138838.57245,520.1626284153832,8.0,8.0,57.62087479602285
E1,GA1,GLUT,Control,GLUT_terminals,1541.296312942386,113716.6695,546.7896504141241,11.0,11.0,96.73164056216049
E1,GA1,GLUT,Control,GLUT_terminals,2432.858101693341,314630.9041500001,878.6721018104537,16.0,16.0,50.85323720257312
E1,GA1,GLUT,Control,GLUT_terminals,2269.445499085045,254706.48855,891.9552788116678,25.0,25.0,98.15219134118126
E1,GA1,GLUT,Control,GLUT_terminals,2153.780271236083,309385.85445,753.9711257733946,15.0,15.0,48.48314744921267
E1,GA1,GLUT,Control,GLUT_terminals,1665.333908965898,195087.0177,633.4094180701769,14.0,14.0,71.7628480103625
E1,GA1,GLUT,Control,GLUT_terminals,1418.002950533877,118479.35205,586.1651358619004,17.0,17.0,143.4849170412896
E1,GA1,GLUT,Control,GLUT_terminals,2284.308371413334,231785.73225,968.251542988701,7.0,7.0,30.20030582576982
E1,GA1,GLUT,Control,GLUT_terminals,1559.232171803683,112774.113,675.4320357371274,9.0,9.0,79.80554899154914
E1,GA1,GLUT,Control,GLUT_terminals,1470.040028817474,142370.3871,513.5114818580009,15.0,15.0,105.3589886600793
E1,GA1,GLUT,Control,GLUT_terminals,2103.455614430552,215734.5495,806.9669463491056,15.0,15.0,69.52989233650774
E1,GA1,GLUT,Control,GLUT_terminals,1505.882787477336,141084.0747,549.3995431377788,10.0,10.0,70.8797220470412
E1,GA1,GLUT,Control,GLUT_terminals,1335.4819909042,98996.15475000002,543.5147615290683,11.0,11.0,111.1154269353073
E1,GA1,GLUT,Control,GLUT_terminals,2933.642010685396,251912.08575,786.3102423979991,21.0,21.0,83.36241565178655
E1,GA1,GLUT,Control,GLUT_terminals,2804.887531736954,328935.5851500001,1245.58025706897,17.0,17.0,51.6818513030377
E1,GA1,GLUT,Control,GLUT_terminals,1234.826220592488,105588.5058,449.6486558414247,11.0,11.0,104.178006087477
E1,GA1,GLUT,Control,GLUT_terminals,,,,,,77.75564449875516
E1,GA1,GLUT,Control,Spine,1751.511575684391,142542.26505,651.7959318682497,2.0,2.0,14.03092619089821
E1,GA1,GLUT,Control,Spine,941.1964875199093,43984.12185000001,404.0430494390419,1.0,1.0,22.73547721176113
E1,GA1,GLUT,Control,Spine,960.1745258920095,64476.40905000001,343.0546541004801,0.0,0.0,0.0
E1,GA1,GLUT,Control,Spine,881.1579228021194,49511.93850000001,326.611723610773,1.0,1.0,20.19714901689821
E1,GA1,GLUT,Control,Spine,937.7823860847495,60716.03985000001,345.6950611449345,1.0,1.0,16.47011238662002
E1,GA1,GLUT,Control,Spine,1032.922006296629,66782.90025,398.3353738999338,1.0,1.0,14.97389296146958
E1,GA1,GLUT,Control,Spine,2302.097512507872,198202.9986,811.1335917714172,3.0,3.0,15.13599703935054
E1,GA1,GLUT,Control,Spine,2225.411388453672,233304.91155,932.4059464096098,6.0,6.0,25.71741829238828
E1,GA1,GLUT,Control,Spine,2132.352769836195,144937.46745,879.1200000000001,2.0,2.0,13.79905441420765
E1,GA1,GLUT,Control,Spine,1776.230336622953,172072.00575,590.3405366396586,6.0,6.0,34.86912338731774
E1,GA1,GLUT,Control,Spine,1248.222488082453,87702.11010000002,457.4115927695756,5.0,5.0,57.01117104592901
E1,GA1,GLUT,Control,Spine,2115.210848650246,278808.2127,751.6437760668281,3.0,3.0,10.76008475843581
E1,GA1,GLUT,Control,Spine,955.5294961934318,58737.90330000001,355.3283205712711,1.0,1.0,17.02478202009638
E1,GA1,GLUT,Control,Spine,2064.655486205933,176585.18805,697.1241864976427,3.0,3.0,16.98896738242027
E1,GA1,GLUT,Control,Spine,1906.516747448316,181087.28145,747.1825475745537,4.0,4.0,22.08879589980724
E1,GA1,GLUT,Control,Spine,1436.320727115243,79762.45770000001,582.3312209559093,4.0,4.0,50.14890608116254
E1,GA1,GLUT,Control,Spine,1911.820606425462,146234.86875,560.0838259582221,4.0,4.0,27.3532573605158
E1,GA1,GLUT,Control,Spine,1814.406218861053,136931.28165,626.58000646366,5.0,5.0,36.5146658948255
E1,GA1,GLUT,Control,Spine,1118.109508645895,57251.99070000001,429.1050972663923,2.0,2.0,34.93328311464285
E1,GA1,GLUT,Control,Spine,947.9203923714144,42159.9978,399.8219383675689,1.0,1.0,23.7191663231064
E1,GA1,GLUT,Control,Spine,2536.557275146358,169954.02585,1157.638471933272,2.0,2.0,11.76788834508212
E1,GA1,GLUT,Control,Spine,1135.355523167924,91239.46920000002,398.1683102658975,3.0,3.0,32.88050693745157
E1,GA1,GLUT,Control,Spine,,,,,,23.596392093835764
E1,GA1,GLUT,Control,GABA_terminals,2904.504288995445,259808.78,1269.989421215783,9.0,9.0,34.64086163677763
E1,GA1,GLUT,Control,GABA_terminals,2838.943049922144,406402.0950000001,1098.317913902892,19.0,19.0,46.75172749786144
E1,GA1,GLUT,Control,GABA_terminals,2820.932162744471,233521.1451,1306.421430702972,9.0,9.0,38.54040710594305
E1,GA1,GLUT,Control,GABA_terminals,1741.482454283825,135717.0471,729.604443859822,8.0,8.0,58.94616904024873
E1,GA1,GLUT,Control,GABA_terminals,3578.621293320026,609817.4221500001,1258.744404754198,13.0,13.0,21.31785601363537
E1,GA1,GLUT,Control,GABA_terminals,1608.242984319917,152940.975,640.2236249936424,3.0,3.0,19.61541045491569
E1,GA1,GLUT,Control,GABA_terminals,1802.430942456841,210587.795,645.9398191782266,3.0,3.0,14.24583984081318
E1,GA1,GLUT,Control,GABA_terminals,1938.771303273277,244507.12,744.3034394653837,3.0,3.0,12.2695813520686
E1,GA1,GLUT,Control,GABA_terminals,1983.708040244338,147453.625,849.6914381115066,3.0,3.0,20.34537977618387
E1,GA1,GLUT,Control,GABA_terminals,2373.128724657879,259280.6598000001,900.141563366563,10.0,10.0,38.56824495785241
