folder,animal,treatment,antibody,image,profile_id,density,area_um2,n_particles,dist_to_symmetric_nm,dist_to_asymmetric_nm,closer_terminal,distance_diff_nm,n_symmetric_terminals,n_asymmetric_terminals
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv36 (2).tif,65,45.09577215174424,0.17740022219999999,8,,,none,,0,0
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv1 (2).tif,84,28.683292099379944,0.0697270032,2,,252.65158853518324,asymmetric,,0,2
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv1 (2).tif,1,34.89798483226789,0.057309899400000044,2,,264.3126536698536,asymmetric,,0,2
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv31 (2).tif,54,24.475578873782208,0.040857052049999995,1,254.4819120393175,851.8163432336809,symmetric,597.3344311943633,1,1
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv31 (2).tif,53,29.257935067061577,0.06835752405,2,253.07999999999993,1136.4723689993016,symmetric,883.3923689993017,1,1
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv15 (2).tif,11,40.04156161938156,0.14984430570000007,6,806.2864574082837,,symmetric,,2,0
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv12 (2).tif,4,0.0,0.05274435285000001,0,,,none,,0,0
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv12 (2).tif,5,17.066667365717365,0.11718749519999999,2,,,none,,0,0
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv35 (2).tif,64,31.98449028567142,0.37518184259999987,12,,,none,,0,0
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv35 (2).tif,63,29.684453517002908,0.9095670225000004,27,,,none,,0,0
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv32 (2).tif,56,28.66779106731428,0.17441176365000002,5,309.4368114983251,132.57415472104645,asymmetric,-176.86265677727863,2,1
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv30 (2).tif,42,22.477634686054465,0.08897733360000003,2,640.0620364464683,369.78961603606814,asymmetric,-270.2724204104001,1,3
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv23 (2).tif,30,31.84144189741088,0.18843367770000005,6,,13.331537464267901,asymmetric,,0,3
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv37 (2).tif,66,30.918949837868755,0.19405575,6,,1049.7531211194373,asymmetric,,0,1
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv27 (2).tif,35,22.95783024641802,0.5226974793000001,12,,338.6138319932308,asymmetric,,0,1
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv22 (2).tif,24,60.26884338732241,0.08296160535000001,5,,300.02228202917956,asymmetric,,0,1
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv16 (2).tif,15,15.365525704626084,1.1714535738000007,18,0.0,93.58490585359372,symmetric,93.58490585359372,3,1
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv13 (2).tif,6,19.730941988940057,0.10136363490000001,2,850.9180854817929,,symmetric,,1,0
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv13 (2).tif,7,57.89368558228176,0.13818432735000002,8,181.6351492836546,,symmetric,,1,0
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv4 (2).tif,70,44.52467184775873,0.2245945806,10,,0.0,asymmetric,,0,1
E1 iba glut GA1 hippo,GA1,Control,GLUT,Tv14 (2).tif,8,32.879507924692575,0.06082816094999998,2,118.44928086445148,423.74822442105886,symmetric,305.29894355660736,1,1
